1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,68,73,59,56,38,17,21,34,55,66,67,66,63,63,69,64,63,55,12,1,2,0,0,0,0,1,2,14,33,23,1,29,51,56,44,30,61,69,64,58,54,50,30,0,9,11,0,0,7,9,50,59,62,43,40,52,55,70,73,72,60,39,0,0,12,4,31,48,23,57,58,61,47,52,61,59,56,57,33,10,6,1,7,0,31,1,56,57,65,64,19,0,0,5,19,60,34,0,0,0
11,83,61,63,60,71,67,55,49,69,47,84,78,74,68,81,76,73,65,51,62,64,76,61,62,59,56,63,47,62,73,78,87,94,96,51,58,74,89,89,82,64,65,78,78,65,64,83,71,80,93,89,74,71,68,92,77,78,90,86,54,75,54,79,88,78,82,83,88,80,74,77,80,83,86,71,63,68,81,76,71,80,59,77,93,90,72,65,65,64,43,59,19,66,89,91,91,87,82,87,95
13,100,99,91,99,100,100,93,97,83,87,97,100,90,97,100,99,89,94,92,86,69,91,89,60,47,70,96,100,99,79,72,56,69,38,73,65,51,76,83,95,93,91,97,88,94,90,73,86,79,66,85,93,79,45,65,44,25,2,46,57,74,98,96,97,99,81,93,87,85,81,69,67,61,64,79,81,71,42,45,72,87,94,79,71,84,78,90,98,99,93,97,88,58,57,65,54,62,80,80,84
15,96,91,95,75,44,66,70,67,83,89,97,90,87,93,79,63,66,85,95,76,60,76,59,71,91,80,52,41,76,88,94,74,61,35,63,54,77,80,75,67,68,88,96,85,100,95,96,84,46,63,80,97,91,89,90,86,80,92,99,94,93,93,69,73,86,76,75,75,88,87,81,62,65,60,75,76,72,70,80,83,97,96,98,99,98,82,90,95,99,100,100,91,79,76,73,64,83,92,89,76
17,46,71,79,87,73,75,80,68,63,61,54,58,60,63,73,74,54,77,62,55,70,62,66,72,75,83,80,67,65,75,75,89,86,65,69,66,66,78,63,64,87,95,87,93,98,95,97,91,74,55,73,76,63,62,60,92,98,100,93,73,58,56,61,74,83,86,93,89,66,59,63,68,78,77,88,86,91,84,90,88,83,85,79,80,71,62,61,74,84,76,76,70,72,78,72,78,79,73,83,74
19,85,83,89,90,88,92,88,88,84,88,86,91,89,89,83,81,69,62,63,57,54,62,57,56,67,71,58,52,65,60,59,59,59,58,58,64,68,54,58,56,58,57,61,65,65,69,74,70,82,79,81,78,86,76,89,85,81,81,89,82,92,90,87,85,74,75,78,81,81,89,87,91,89,87,93,92,90,81,84,72,75,81,83,83,87,91,92,90,92,91,80,92,89,91,86,86,83,83,82,83
21,86,84,81,68,74,65,69,71,77,83,76,88,86,96,95,95,89,83,79,78,80,90,89,90,97,93,99,100,100,100,100,84,97,92,99,95,98,97,100,100,94,93,92,86,85,90,89,90,94,92,92,99,97,99,100,100,97,99,99,96,93,96,99,100,97,100,94,97,90,95,96,97,94,84,85,86,88,82,85,94,95,94,94,89,90,90,96,99,94,82,84,80,85,95,96,95,91,92,86,86
