BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,306,21,off,939,1000,505,0
2,15254,21,off,979,1000,0,0
3,29618,19,off,983,1000,0,0
4,43696,17,off,990,1000,0,0
5,58003,15,off,998,1000,0,0
6,72380,13,off,945,1000,0,0
7,86555,13,off,936,1000,0,0
8,100884,13,off,972,1000,0,0
9,115503,11,off,965,1000,0,0
10,129675,9,off,963,1000,0,0
11,143924,7,off,810,1000,0,0
12,158064,9,off,944,1000,0,0
13,172172,9,off,953,1000,0,0
14,186359,9,off,957,1000,0,0
15,200657,9,off,901,1000,0,0
16,214845,9,off,951,1000,0,0
17,229038,9,off,897,1000,0,0
18,243247,11,off,979,1000,0,0
19,257637,9,off,955,1000,0,0
20,272315,9,off,960,1000,0,0
21,286428,7,off,846,1000,0,0
22,300683,9,off,956,1000,0,0
23,314809,9,off,942,1000,0,0
24,329168,9,off,923,1000,0,0
25,343281,9,off,897,1000,0,0
26,357675,11,off,945,1000,0,0
27,371846,11,off,938,1000,0,0
28,386455,11,off,982,1000,0,0
29,400628,9,off,921,1000,0,0
30,414780,9,off,951,1000,0,0
done,428436
