BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1216,21,off,4991,5000,0,0
2,16045,19,off,4992,5000,0,0
3,30419,17,off,4959,5000,0,0
4,44615,15,off,4988,5000,0,0
5,59227,13,off,4955,5000,0,0
6,73218,11,off,4965,5000,0,0
7,87837,9,off,4913,5000,0,0
8,102417,7,off,4591,5000,0,0
9,117018,7,off,4723,5000,0,0
10,131597,7,off,4630,5000,0,0
11,146267,7,off,4666,5000,0,0
12,160283,7,off,4711,5000,0,0
13,174403,7,off,4756,5000,0,0
14,189098,7,off,4745,5000,0,0
15,203276,7,off,4793,5000,0,0
16,218033,7,off,4821,5000,0,0
17,232416,5,off,4734,5000,0,0
18,246471,5,off,4813,5000,0,0
19,260997,3,off,4777,5000,0,0
20,275436,3,off,4752,5000,0,0
21,289831,3,off,4581,5000,0,0
22,304448,3,off,4756,5000,0,0
23,318862,3,off,4686,5000,0,0
24,333188,3,off,4747,5000,0,0
25,347467,3,off,4791,5000,0,0
26,361880,3,off,4817,5000,0,0
27,376276,1,off,4663,5000,0,0
28,391077,1,off,4778,5000,0,0
29,405325,1,off,4670,5000,0,0
30,419599,1,off,4708,5000,0,0
done,433379
