BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1219	| 21	off	| 999	1000	| 0	0
2	15574	| 19	off	| 971	1000	| 0	0
3	29685	| 17	off	| 999	1000	| 0	0
4	44073	| 15	off	| 998	1000	| 0	0
5	58174	| 13	off	| 960	1000	| 0	0
6	72256	| 11	off	| 995	1000	| 0	0
7	86444	| 9	off	| 954	1000	| 0	0
8	100659	| 9	off	| 978	1000	| 0	0
9	114816	| 7	off	| 973	1000	| 0	0
10	128983	| 5	off	| 966	1000	| 0	0
11	143253	| 3	off	| 932	1000	| 0	0
12	157434	| 3	off	| 930	1000	| 0	0
13	172178	| 3	off	| 923	1000	| 0	0
14	186295	| 3	off	| 982	1000	| 0	0
15	200436	| 1	off	| 928	1000	| 0	0
16	214569	| 1	off	| 980	1000	| 0	0
17	228688	| 1	off	| 979	1000	| 0	0
18	242777	| 1	off	| 981	1000	| 0	0
19	257051	| 1	off	| 914	1000	| 0	0
20	271126	| 1	off	| 855	1000	| 0	0
21	285171	| 3	off	| 943	1000	| 0	0
22	299283	| 3	off	| 964	1000	| 0	0
23	313657	| 1	off	| 982	1000	| 0	0
24	327984	| 1	off	| 982	1000	| 0	0
25	342273	| 1	off	| 971	1000	| 0	0
26	356618	| 1	off	| 920	1000	| 0	0
27	370776	| 1	off	| 987	1000	| 0	0
28	384936	| 1	off	| 981	1000	| 0	0
29	399286	| 1	off	| 933	1000	| 0	0
30	413565	| 1	off	| 973	1000	| 0	0
done	427198
