Time (s),USB Avg Power (mW)
493.1484,1836.0001
493.1504,1838.4
493.1524,1840.8
493.1544,1838.4
493.1564,1838.4
493.1584,1836.0001
493.1604,1838.4
493.1624,1840.8
493.1644,1838.4
493.1664,1836.0001
493.1684,1838.4
493.1704,1840.8
493.1724,1840.8
493.1744,1838.4
493.1764,1838.4
493.1784,1836.0001
493.1804,1838.4
493.1824,1881.6001
493.1844,1838.4
493.1864,1836.0001
493.1884,1838.4
493.1904,1838.4
493.1924,1840.8
493.1944,1838.4
493.1964,1838.4
493.1984,1836.0001
493.2004,1838.4
493.2024,1843.2001
493.2044,1838.4
493.2064,1838.4
493.2084,1838.4
493.2104,1838.4
493.2124,1838.4
493.2144,1838.4
493.2164,1836.0001
493.2184,1838.4
493.2204,1836.0001
493.2224,1840.8
493.2244,1838.4
493.2264,1838.4
493.2284,1840.8
493.2304,1838.4
493.2324,1862.4
493.2344,1838.4
493.2364,1838.4
493.2384,1838.4
493.2404,1838.4
493.2424,1840.8
493.2444,1838.4
493.2464,1838.4
493.2484,1838.4
493.2504,1838.4
493.2524,1840.8
493.2544,1838.4
493.2564,1836.0001
493.2584,1838.4
493.2604,1838.4
493.2624,1838.4
493.2644,1838.4
493.2664,1836.0001
493.2684,1838.4
493.2704,1838.4
493.2724,1838.4
493.2744,1838.4
493.2764,1838.4
493.2784,1838.4
493.2804,1838.4
493.2824,1886.4
493.2844,1838.4
493.2864,1836.0001
493.2884,1838.4
493.2904,1838.4
493.2924,1838.4
493.2944,1838.4
493.2964,1838.4
493.2984,1836.0001
493.3004,1836.0001
493.3024,1838.4
493.3044,1838.4
493.3064,1838.4
493.3084,1838.4
493.3104,1836.0001
493.3124,1838.4
493.3144,1838.4
493.3164,1836.0001
493.3184,1838.4
493.3204,1838.4
493.3224,1840.8
493.3244,1838.4
493.3264,1838.4
493.3284,1838.4
493.3304,1836.0001
493.3324,1840.8
493.3344,1838.4
493.3364,1920.0001
493.3384,1838.4
493.3404,1838.4
493.3424,1838.4
493.3444,1838.4
493.3464,1838.4
493.3484,1838.4
493.3504,1838.4
493.3524,1838.4
493.3544,1836.0001
493.3564,1838.4
493.3584,1838.4
493.3604,1838.4
493.3624,1838.4
493.3644,1838.4
493.3664,1836.0001
493.3684,1838.4
493.3704,1838.4
493.3724,1838.4
493.3744,1838.4
493.3764,1838.4
493.3784,1838.4
493.3804,1836.0001
493.3824,1840.8
493.3844,1836.0001
493.3864,1836.0001
493.3884,1840.8
493.3904,1838.4
493.3924,1838.4
493.3944,1838.4
493.3964,1838.4
493.3984,1838.4
493.4004,1838.4
493.4024,1838.4
493.4044,1838.4
493.4064,1838.4
493.4084,1840.8
493.4104,1838.4
493.4124,1838.4
493.4144,1838.4
493.4164,1836.0001
493.4184,1840.8
493.4204,1838.4
493.4224,1838.4
493.4244,1836.0001
493.4264,1836.0001
493.4284,1838.4
493.4304,1836.0001
493.4324,1838.4
493.4344,1838.4
493.4364,1838.4
493.4384,1838.4
493.4404,1838.4
493.4424,1840.8
493.4444,1838.4
493.4464,1836.0001
493.4484,1836.0001
493.4504,1838.4
493.4524,1838.4
493.4544,1838.4
493.4564,1836.0001
493.4584,1838.4
493.4604,1838.4
493.4624,1838.4
493.4644,1838.4
493.4664,1836.0001
493.4684,1838.4
493.4704,1838.4
493.4724,1838.4
493.4744,1836.0001
493.4764,1838.4
493.4784,1838.4
493.4804,1838.4
493.4824,1838.4
493.4844,1838.4
493.4864,1836.0001
493.4884,1838.4
493.4904,1838.4
493.4924,1838.4
493.4944,1838.4
493.4964,1838.4
493.4984,1838.4
493.5004,1838.4
493.5024,1838.4
493.5044,1836.0001
493.5064,1838.4
493.5084,1838.4
493.5104,1840.8
493.5124,1838.4
493.5144,1840.8
493.5164,1836.0001
493.5184,1838.4
493.5204,1852.8
493.5224,1838.4
493.5244,1838.4
493.5264,1838.4
493.5284,1852.8
493.5304,1840.8
493.5324,1836.0001
493.5344,1838.4
493.5364,1852.8
493.5384,1838.4
493.5404,1838.4
493.5424,1838.4
493.5444,1848.0001
493.5464,1840.8
493.5484,1838.4
493.5504,1836.0001
493.5524,1852.8
493.5544,1838.4
493.5564,1840.8
493.5584,1838.4
493.5604,1850.4
493.5624,1838.4
493.5644,1838.4
493.5664,1838.4
493.5684,1852.8
493.5704,1838.4
493.5724,1838.4
493.5744,1838.4
493.5764,1852.8
493.5784,1840.8
493.5804,1838.4
493.5824,1836.0001
493.5844,1860.0001
493.5864,1848.0001
493.5884,1840.8
493.5904,1838.4
493.5924,1850.4
493.5944,1838.4
493.5964,1838.4
493.5984,1838.4
493.6004,1852.8
493.6024,1838.4
493.6044,1840.8
493.6064,1840.8
493.6084,1850.4
493.6104,1838.4
493.6124,1838.4
493.6144,1840.8
493.6164,1850.4
493.6184,1840.8
493.6204,1838.4
493.6224,1838.4
493.6244,1848.0001
493.6264,1838.4
493.6284,1838.4
493.6304,1838.4
493.6324,1848.0001
493.6344,1850.4
493.6364,1838.4
493.6384,1838.4
493.6404,1850.4
493.6424,1838.4
493.6444,1838.4
493.6464,1838.4
493.6484,1850.4
493.6504,1838.4
493.6524,1838.4
493.6544,1838.4
493.6564,1850.4
493.6584,1838.4
493.6604,1838.4
493.6624,1840.8
493.6644,1848.0001
493.6664,1838.4
493.6684,1838.4
493.6704,1836.0001
493.6724,1850.4
493.6744,1838.4
493.6764,1838.4
493.6784,1838.4
493.6804,1848.0001
493.6824,1838.4
493.6844,1888.8
493.6864,1838.4
493.6884,1850.4
493.6904,1838.4
493.6924,1845.6001
493.6944,1838.4
493.6964,1850.4
493.6984,1838.4
493.7004,1838.4
493.7024,1838.4
493.7044,1848.0001
493.7064,1840.8
493.7084,1838.4
493.7104,1838.4
493.7124,1850.4
493.7144,1840.8
493.7164,1838.4
493.7184,1840.8
493.7204,1850.4
493.7224,1838.4
493.7244,1838.4
493.7264,1838.4
493.7284,1848.0001
493.7304,1838.4
493.7324,1838.4
493.7344,1850.4
493.7364,1848.0001
493.7384,1838.4
493.7404,1838.4
493.7424,1838.4
493.7444,1845.6001
493.7464,1838.4
493.7484,1838.4
493.7504,1838.4
493.7524,1848.0001
493.7544,1838.4
493.7564,1838.4
493.7584,1838.4
493.7604,1845.6001
493.7624,1836.0001
493.7644,1840.8
493.7664,1874.4
493.7684,1845.6001
493.7704,1838.4
493.7724,1838.4
493.7744,1838.4
493.7764,1848.0001
493.7784,1838.4
493.7804,1838.4
493.7824,1838.4
493.7844,1860.0001
493.7864,1840.8
493.7884,1838.4
493.7904,1838.4
493.7924,1848.0001
493.7944,1838.4
493.7964,1840.8
493.7984,1838.4
493.8004,1845.6001
493.8024,1838.4
493.8044,1838.4
493.8064,1840.8
493.8084,1845.6001
493.8104,1838.4
493.8124,1838.4
493.8144,1838.4
493.8164,1848.0001
493.8184,1838.4
493.8204,1836.0001
493.8224,1838.4
493.8244,1857.6001
493.8264,1838.4
493.8284,1838.4
493.8304,1838.4
493.8324,1824.0001
493.8344,1840.8
493.8364,1838.4
493.8384,1838.4
493.8404,1857.6001
493.8424,1838.4
493.8444,1838.4
493.8464,1838.4
493.8484,1860.0001
493.8504,1804.8
493.8524,1838.4
493.8544,1838.4
493.8564,1857.6001
493.8584,1838.4
493.8604,1838.4
493.8624,1838.4
493.8644,1857.6001
493.8664,1836.0001
493.8684,1807.2001
493.8704,1840.8
493.8724,1857.6001
493.8744,1840.8
493.8764,1838.4
493.8784,1838.4
493.8804,1857.6001
493.8824,1838.4
493.8844,1838.4
493.8864,1807.2001
493.8884,1857.6001
493.8904,1838.4
493.8924,1838.4
493.8944,1838.4
493.8964,1860.0001
493.8984,1838.4
493.9004,1838.4
493.9024,1838.4
493.9044,1824.0001
493.9064,1838.4
493.9084,1838.4
493.9104,1838.4
493.9124,1860.0001
493.9144,1840.8
493.9164,1838.4
493.9184,1836.0001
493.9204,1857.6001
493.9224,1804.8
493.9244,1838.4
493.9264,1838.4
493.9284,1860.0001
493.9304,1836.0001
493.9324,1838.4
493.9344,1838.4
493.9364,1860.0001
493.9384,1838.4
493.9404,1807.2001
493.9424,1838.4
493.9444,1855.2001
493.9464,1838.4
493.9484,1857.6001
493.9504,1836.0001
493.9524,1855.2001
493.9544,1840.8
493.9564,1838.4
493.9584,1804.8
493.9604,1857.6001
493.9624,1838.4
493.9644,1840.8
493.9664,1836.0001
493.9684,1860.0001
493.9704,1838.4
493.9724,1838.4
493.9744,1838.4
493.9764,1826.4
493.9784,1838.4
493.9804,1838.4
493.9824,1838.4
493.9844,1855.2001
493.9864,1843.2001
493.9884,1838.4
493.9904,1838.4
493.9924,1860.0001
493.9944,1807.2001
493.9964,1838.4
493.9984,1836.0001
494.0004,1857.6001
494.0024,1838.4
494.0044,1838.4
494.0064,1836.0001
494.0084,1860.0001
494.0104,1836.0001
494.0124,1807.2001
494.0144,1840.8
494.0164,1860.0001
494.0184,1838.4
494.0204,1838.4
494.0224,1838.4
494.0244,1855.2001
494.0264,1838.4
494.0284,1838.4
494.0304,1804.8
494.0324,1862.4
494.0344,1838.4
494.0364,1843.2001
494.0384,1838.4
494.0404,1860.0001
494.0424,1836.0001
494.0444,1838.4
494.0464,1836.0001
494.0484,1828.8
494.0504,1836.0001
494.0524,1838.4
494.0544,1838.4
494.0564,1860.0001
494.0584,1838.4
494.0604,1836.0001
494.0624,1836.0001
494.0644,1855.2001
494.0664,1804.8
494.0684,1836.0001
494.0704,1836.0001
494.0724,1860.0001
494.0744,1838.4
494.0764,1838.4
494.0784,1838.4
494.0804,1862.4
494.0824,1838.4
494.0844,1807.2001
494.0864,1886.4
494.0884,1862.4
494.0904,1836.0001
494.0924,1836.0001
494.0944,1838.4
494.0964,1862.4
494.0984,1836.0001
494.1004,1836.0001
494.1024,1804.8
494.1044,1860.0001
494.1064,1838.4
494.1084,1838.4
494.1104,1836.0001
494.1124,1864.8
494.1144,1838.4
494.1164,1836.0001
494.1184,1836.0001
494.1204,1848.0001
494.1224,1838.4
494.1244,1838.4
494.1264,1838.4
494.1284,1848.0001
494.1304,1838.4
494.1324,1838.4
494.1344,1838.4
494.1364,1886.4
494.1384,1838.4
494.1404,1840.8
494.1424,1838.4
494.1444,1848.0001
494.1464,1838.4
494.1484,1838.4
494.1504,1838.4
494.1524,1848.0001
494.1544,1838.4
494.1564,1838.4
494.1584,1838.4
494.1604,1848.0001
494.1624,1838.4
494.1644,1840.8
494.1664,1836.0001
494.1684,1850.4
494.1704,1838.4
494.1724,1838.4
494.1744,1838.4
494.1764,1848.0001
494.1784,1838.4
494.1804,1838.4
494.1824,1857.6001
494.1844,1848.0001
494.1864,1874.4
494.1884,1838.4
494.1904,1840.8
494.1924,1852.8
494.1944,1838.4
494.1964,1838.4
494.1984,1838.4
494.2004,1848.0001
494.2024,1838.4
494.2044,1848.0001
494.2064,1838.4
494.2084,1848.0001
494.2104,1838.4
494.2124,1838.4
494.2144,1838.4
494.2164,1848.0001
494.2184,1838.4
494.2204,1838.4
494.2224,1840.8
494.2244,1848.0001
494.2264,1838.4
494.2284,1840.8
494.2304,1840.8
494.2324,1852.8
494.2344,1838.4
494.2364,1838.4
494.2384,1838.4
494.2404,1852.8
494.2424,1838.4
494.2444,1838.4
494.2464,1838.4
494.2484,1848.0001
494.2504,1838.4
494.2524,1840.8
494.2544,1838.4
494.2564,1850.4
494.2584,1838.4
494.2604,1840.8
494.2624,1838.4
494.2644,1850.4
494.2664,1838.4
494.2684,1838.4
494.2704,1840.8
494.2724,1852.8
494.2744,1838.4
494.2764,1838.4
494.2784,1838.4
494.2804,1852.8
494.2824,1840.8
494.2844,1838.4
494.2864,1838.4
494.2884,1850.4
494.2904,1838.4
494.2924,1838.4
494.2944,1838.4
494.2964,1850.4
494.2984,1838.4
494.3004,1838.4
494.3024,1840.8
494.3044,1850.4
494.3064,1838.4
494.3084,1838.4
494.3104,1838.4
494.3124,1850.4
494.3144,1838.4
494.3164,1836.0001
494.3184,1838.4
494.3204,1852.8
494.3224,1838.4
494.3244,1838.4
494.3264,1838.4
494.3284,1850.4
494.3304,1840.8
494.3324,1840.8
494.3344,1838.4
494.3364,1850.4
494.3384,1838.4
494.3404,1838.4
494.3424,1838.4
494.3444,1852.8
494.3464,1836.0001
494.3484,1838.4
494.3504,1838.4
494.3524,1852.8
494.3544,1838.4
494.3564,1838.4
494.3584,1838.4
494.3604,1852.8
494.3624,1840.8
494.3644,1838.4
494.3664,1838.4
494.3684,1852.8
494.3704,1831.2001
494.3724,1828.8
494.3744,1828.8
494.3764,1840.8
494.3784,1826.4
494.3804,1828.8
494.3824,1828.8
494.3844,1843.2001
494.3864,1826.4
494.3884,1831.2001
494.3904,1828.8
494.3924,1843.2001
494.3944,1826.4
494.3964,1826.4
494.3984,1826.4
494.4004,1843.2001
494.4024,1828.8
494.4044,1828.8
494.4064,1826.4
494.4084,1843.2001
494.4104,1828.8
494.4124,1826.4
494.4144,1826.4
494.4164,1843.2001
494.4184,1826.4
494.4204,1826.4
494.4224,1826.4
494.4244,1831.2001
494.4264,1828.8
494.4284,1828.8
494.4304,1828.8
494.4324,1831.2001
494.4344,1826.4
494.4364,1828.8
494.4384,1828.8
494.4404,1831.2001
494.4424,1828.8
494.4444,1826.4
494.4464,1826.4
494.4484,1831.2001
494.4504,1836.0001
494.4524,1838.4
494.4544,1836.0001
494.4564,1840.8
494.4584,1840.8
