BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,270,off,5,0,0,1972,2370
2,14377,off,5,0,0,1967,2370
3,29150,off,5,0,0,1611,2370
4,43146,off,5,0,0,2042,2370
5,57147,off,5,0,0,2180,2370
6,71157,off,5,0,0,2021,2370
7,85358,off,5,0,0,1118,2370
8,99551,off,5,0,0,1949,2370
9,113548,off,5,0,0,2101,2370
10,127576,off,5,0,0,1965,2370
11,141777,off,5,0,0,2080,2370
12,155979,off,5,0,0,1958,2370
13,170155,off,5,0,0,1785,2370
14,184145,off,5,0,0,1792,2370
15,198176,off,5,0,0,1965,2370
16,212353,off,5,0,0,2011,2370
17,226387,off,5,0,0,2058,2370
18,240591,off,5,0,0,2047,2370
19,254754,off,5,0,0,2110,2370
20,268970,off,5,0,0,2089,2370
21,283187,off,5,0,0,1965,2370
22,297385,off,5,0,0,1963,2370
23,311556,off,5,0,0,2121,2370
24,325579,off,5,0,0,1968,2370
25,339777,off,5,0,0,2086,2370
26,353965,off,5,0,0,1998,2370
27,368180,off,5,0,0,1684,2370
28,382386,off,5,0,0,2111,2370
29,396571,off,5,0,0,2219,2370
30,410765,off,5,0,0,2137,2370
done,424403
