BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1215,off,5,0,0,2286,2370
2,15144,off,4,0,0,2263,2370
3,29143,off,4,0,0,2274,2370
4,43142,off,4,0,0,2269,2370
5,57145,off,4,0,0,2266,2370
6,71147,off,4,0,0,2245,2370
7,85150,off,4,0,0,2283,2370
8,99150,off,3,0,0,2280,2370
9,113145,off,2,0,0,2276,2370
10,127149,off,1,0,0,2265,2370
11,141125,off,1,0,0,2284,2370
12,155159,off,0,0,0,2265,2370
13,169160,off,0,0,0,2254,2370
14,183147,off,0,0,0,2278,2370
15,197146,off,-3,0,0,2267,2370
16,211125,off,-3,0,0,2277,2370
17,225149,off,-6,0,0,2101,2370
18,239145,off,-3,0,0,2272,2370
19,253164,off,-3,0,0,2242,2370
20,267149,off,-3,0,0,2276,2370
21,281158,off,-6,0,0,2233,2370
22,295127,off,-6,0,0,2118,2370
23,309150,off,-3,0,0,2283,2370
24,323160,off,-6,0,0,2094,2370
25,337159,off,-3,0,0,2254,2370
26,351157,off,-3,0,0,2263,2370
27,365161,off,-3,0,0,2272,2370
28,379160,off,-3,0,0,2267,2370
29,393149,off,-3,0,0,2277,2370
30,407143,off,-6,0,0,2232,2370
done,420569
