BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1176	| off	5	| 0	0	| 941	1000
2	15106	| off	5	| 0	0	| 956	1000
3	29125	| off	5	| 0	0	| 937	1000
4	43107	| off	5	| 0	0	| 956	1000
5	57123	| off	5	| 0	0	| 946	1000
6	71103	| off	5	| 0	0	| 964	1000
7	85137	| off	4	| 0	0	| 952	1000
8	99124	| off	4	| 0	0	| 930	1000
9	113124	| off	4	| 0	0	| 952	1000
10	127122	| off	4	| 0	0	| 932	1000
11	141122	| off	4	| 0	0	| 928	1000
12	155103	| off	4	| 0	0	| 960	1000
13	169106	| off	3	| 0	0	| 918	1000
14	183103	| off	3	| 0	0	| 950	1000
15	197127	| off	3	| 0	0	| 938	1000
16	211133	| off	3	| 0	0	| 639	1000
17	225123	| off	4	| 0	0	| 841	1000
18	239133	| off	5	| 0	0	| 933	1000
19	253112	| off	5	| 0	0	| 959	1000
20	267125	| off	5	| 0	0	| 944	1000
21	281139	| off	5	| 0	0	| 951	1000
22	295110	| off	5	| 0	0	| 954	1000
23	309128	| off	5	| 0	0	| 943	1000
24	323099	| off	5	| 0	0	| 930	1000
25	337125	| off	5	| 0	0	| 945	1000
26	351129	| off	5	| 0	0	| 955	1000
27	365130	| off	5	| 0	0	| 950	1000
28	379140	| off	5	| 0	0	| 934	1000
29	393130	| off	5	| 0	0	| 944	1000
30	407136	| off	5	| 0	0	| 947	1000
done	420563
