BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1207,21,5,2315,2321,606,679
2,15809,21,-6,2315,2321,462,679
3,30649,9,-3,2291,2321,600,679
4,45318,10,-6,2274,2321,640,679
5,60239,9,-3,2253,2321,515,679
6,74889,10,-6,2283,2321,651,679
7,89701,9,-3,2265,2321,500,679
8,104370,10,-6,2186,2321,620,679
9,119104,9,-3,2283,2321,666,679
10,133830,10,-6,2293,2321,550,679
11,148430,9,-3,2288,2321,583,679
12,163086,10,-6,2283,2321,555,679
13,177659,9,-3,2301,2321,482,679
14,192463,10,-6,2300,2321,512,679
15,207136,9,-3,2296,2321,662,679
16,221844,10,-6,2303,2321,530,679
17,236533,9,-3,2245,2321,477,679
18,251277,10,-6,2296,2321,507,679
19,265914,9,-3,2291,2321,602,679
20,280548,10,-6,2301,2321,662,679
21,295281,9,-3,2267,2321,660,679
22,310048,10,-6,2286,2321,516,679
23,324734,9,-3,2288,2321,634,679
24,339333,10,-6,2240,2321,621,679
25,353944,9,-3,2265,2321,660,679
26,368553,10,-6,2302,2321,662,679
27,383303,9,-3,2269,2321,660,679
28,397973,10,-6,2282,2321,656,679
29,412721,9,-3,2256,2321,584,679
30,427702,10,-6,2306,2321,512,679
done,441870
