BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1197	| 21	5	| 2323	2337	| 648	663
2	15899	| 21	-6	| 2335	2337	| 466	663
3	30766	| 9	-3	| 2288	2337	| 59	663
4	45528	| 10	off	| 2964	3000	| 0	0
5	59598	| 11	off	| 2937	3000	| 0	0
6	74564	| 12	off	| 2971	3000	| 0	0
7	88741	| 13	off	| 2993	3000	| 0	0
8	103715	| 14	off	| 2997	3000	| 0	0
9	118813	| 15	off	| 2991	3000	| 0	0
10	132931	| 9	-6	| 2218	2337	| 191	663
11	147641	| 9	2	| 2179	2337	| 636	663
12	162392	| 10	-6	| 2260	2337	| 204	663
13	177122	| 9	2	| 2153	2337	| 628	663
14	191921	| 10	-6	| 2300	2337	| 173	663
15	206630	| 9	2	| 2129	2337	| 639	663
16	221474	| 10	-6	| 2217	2337	| 33	663
17	236082	| 11	off	| 2833	3000	| 0	0
18	250222	| 12	off	| 2918	3000	| 0	0
19	265126	| 13	off	| 2983	3000	| 0	0
20	280047	| 14	off	| 2982	3000	| 0	0
21	294995	| 15	off	| 2997	3000	| 0	0
22	309932	| 9	-6	| 2269	2337	| 603	663
23	324505	| 10	-6	| 2141	2337	| 582	663
24	339100	| 9	-3	| 2275	2337	| 641	663
25	353683	| 10	-6	| 2227	2337	| 28	663
26	368282	| 11	off	| 2860	3000	| 0	0
27	383253	| 12	off	| 2973	3000	| 0	0
28	398243	| 13	off	| 2963	3000	| 0	0
29	413103	| 14	off	| 2994	3000	| 0	0
30	428044	| 15	off	| 2955	3000	| 0	0
done	442441
