BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,287,21,5,3790,3907,952,1093
2,14864,21,-6,3809,3907,1066,1093
3,29137,9,-3,3585,3907,977,1093
4,43866,10,-6,3725,3907,869,1093
5,58268,9,-3,3645,3907,875,1093
6,73041,10,-6,3673,3907,916,1093
7,87826,9,-3,3514,3907,887,1093
8,102434,10,-6,3707,3907,896,1093
9,116928,9,-3,3602,3907,1044,1093
10,131570,10,-6,3684,3907,950,1093
11,145665,9,-3,3608,3907,711,1093
12,160450,10,-6,3706,3907,1030,1093
13,174790,9,-3,3642,3907,867,1093
14,189396,10,-6,3658,3907,1073,1093
15,204008,9,-3,3591,3907,900,1093
16,218527,10,-6,3697,3907,865,1093
17,232865,9,-3,3684,3907,900,1093
18,247469,10,-6,3731,3907,584,1093
19,261847,11,-6,3736,3907,899,1093
20,276441,9,-3,3638,3907,891,1093
21,291260,10,-6,3698,3907,906,1093
22,305879,9,-3,3641,3907,1033,1093
23,320580,10,-6,3664,3907,910,1093
24,335355,9,-3,3691,3907,891,1093
25,349953,10,-6,3714,3907,845,1093
26,364213,9,-3,3702,3907,896,1093
27,378751,10,-6,3710,3907,973,1093
28,392983,9,-3,3679,3907,1073,1093
29,407435,10,-6,3720,3907,1067,1093
30,421634,9,-3,3666,3907,962,1093
done,435568
