BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1246,21,5,5355,5373,1216,1627
2,15524,21,-6,5359,5373,1571,1627
3,29799,9,-3,5363,5373,1592,1627
4,44020,10,-6,5333,5373,1569,1627
5,58220,9,-3,5343,5373,1588,1627
6,72593,10,-6,5357,5373,1560,1627
7,86991,9,-3,5360,5373,1594,1627
8,101221,10,-6,5345,5373,1581,1627
9,115414,9,-3,5280,5373,1594,1627
10,129509,10,-6,5364,5373,1593,1627
11,143686,9,-3,5298,5373,1566,1627
12,157958,10,-6,5363,5373,1572,1627
13,172730,9,-3,5273,5373,1595,1627
14,187066,10,-6,5357,5373,1583,1627
15,201201,9,-3,5330,5373,1594,1627
16,215600,10,-6,5355,5373,1583,1627
17,229769,9,-3,5286,5373,1116,1627
18,244019,10,-6,5349,5373,1586,1627
19,258422,9,-3,5297,5373,1582,1627
20,272824,10,-6,5365,5373,1586,1627
21,287030,9,-3,5359,5373,1573,1627
22,301310,10,-6,5341,5373,1574,1627
23,315586,9,-3,5345,5373,1577,1627
24,329811,10,-6,5250,5373,1564,1627
25,344093,9,-3,5301,5373,1582,1627
26,358472,10,-6,5363,5373,1589,1627
27,372655,9,-3,5365,5373,1575,1627
28,386881,10,-6,5363,5373,1585,1627
29,401163,9,-3,5351,5373,1536,1627
30,415975,10,-6,5351,5373,1536,1627
done,429359
