BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1211	| 21	5	| 776	778	| 212	222
2	16844	| 21	5	| 755	778	| 213	222
3	31662	| 21	5	| 772	778	| 212	222
4	46181	| 21	5	| 777	778	| 216	222
5	60129	| 21	5	| 777	778	| 214	222
6	75048	| 21	5	| 777	778	| 213	222
7	89011	| 21	5	| 745	778	| 214	222
8	103805	| 21	5	| 775	778	| 210	222
9	118700	| 21	5	| 773	778	| 209	222
10	132609	| 21	5	| 773	778	| 214	222
11	146570	| 21	5	| 743	778	| 217	222
12	161503	| 21	5	| 754	778	| 215	222
13	176303	| 21	5	| 723	778	| 217	222
14	191112	| 21	5	| 755	778	| 214	222
15	205901	| 21	5	| 736	778	| 221	222
16	220661	| 21	5	| 766	778	| 197	222
17	234659	| 21	5	| 734	778	| 220	222
18	249461	| 21	5	| 752	778	| 214	222
19	264242	| 21	5	| 752	778	| 217	222
20	279024	| 21	5	| 777	778	| 213	222
21	294122	| 21	5	| 773	778	| 215	222
22	308942	| 21	5	| 751	778	| 213	222
23	323715	| 21	5	| 778	778	| 210	222
24	338636	| 21	5	| 774	778	| 205	222
25	353631	| 21	5	| 759	778	| 216	222
26	368434	| 21	5	| 738	778	| 214	222
27	383243	| 21	5	| 772	778	| 216	222
28	398227	| 21	5	| 745	778	| 210	222
29	413024	| 21	5	| 773	778	| 216	222
30	428114	| 21	5	| 725	778	| 217	222
done	442364
