Environment,Method,DataRate,Prev_WiFi_Power,Prev_ZigBee_Power,Prev_WiFi_PRR,Prev_ZigBee_PRR,WiFi_Throughput,ZigBee_Throughput,Selected_WiFi_Power,Selected_ZigBee_Power,Total_Power_Consumption,Platform_Power_Consumption
Indoor,ARTPoS,700,21,5,0.99,0.93,828,237,21,1,2337,1817
Indoor,ARTPoS,700,21,1,0.99,0.88,828,237,9,5,2237,1817
Indoor,ARTPoS,700,9,5,0.95,0.9,828,237,10,1,2261,1817
Indoor,ARTPoS,700,10,1,0.97,0.81,828,237,11,1,2242,1817
Indoor,ARTPoS-irp,700,21,5,0.94,0.82,828,237,21,-6,2333,1817
Indoor,ARTPoS-irp,700,21,-6,0.99,0.74,828,237,9,-3,2237,1817
Indoor,ARTPoS-irp,700,9,-3,0.95,0.91,828,237,10,-6,2232,1817
Indoor,ARTPoS-irp,700,10,-6,0.94,0.83,828,237,9,-3,2232,1817
Outdoor,ARTPoS,700,21,5,0.94,0.96,801,237,21,1,2223,1736
Outdoor,ARTPoS,700,21,1,0.99,0.97,801,237,9,5,2175,1736
Outdoor,ARTPoS,700,9,5,0.98,0.98,801,237,10,1,2166,1736
Outdoor,ARTPoS,700,10,1,0.99,0.94,801,237,11,1,2194,1736
Outdoor,ARTPoS-irp,700,21,5,0.99,0.97,801,237,21,-6,2209,1736
Outdoor,ARTPoS-irp,700,21,-6,0.99,0.94,801,237,9,-3,2166,1736
Outdoor,ARTPoS-irp,700,9,-3,0.88,0.96,801,237,10,-6,2170,1736
Outdoor,ARTPoS-irp,700,10,-6,0.88,0.96,801,237,9,-3,2166,1736
