BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1216	| 21	5	| 4380	5401	| 1533	1599
2	16918	| 21	1	| 4403	5401	| 1531	1599
3	32615	| 9	5	| 0	5401	| 1532	1599
4	48494	| 11	1	| 4329	5401	| 1532	1599
5	64823	| 9	5	| 4289	5401	| 1533	1599
done	79057
BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1239	| 21	5	| 0	5401	| 1534	1599
2	16885	| 21	1	| 4338	5401	| 1534	1599
3	33084	| 9	5	| 4349	5401	| 1531	1599
4	48691	| 13	1	| 4396	5401	| 1533	1599
5	64618	| 9	5	| 4167	5401	| 1533	1599
done	78536
